iter	Passed	Remaining
206	472	1810
207	474	1805
208	475	1799
209	476	1793
210	478	1787
211	479	1783
212	480	1776
213	481	1770
214	483	1766
215	485	1762
216	487	1759
217	489	1755
218	490	1749
219	491	1743
220	493	1738
221	494	1734
222	496	1729
223	498	1725
224	499	1720
225	501	1716
226	505	1720
227	507	1719
228	509	1715
229	511	1712
230	512	1707
231	514	1703
232	515	1697
233	517	1694
234	519	1690
235	520	1684
236	521	1679
237	523	1674
238	524	1670
239	526	1666
240	527	1662
241	529	1657
242	530	1653
243	534	1655
244	535	1650
245	536	1645
246	538	1640
247	539	1636
248	541	1631
249	542	1626
250	543	1622
251	545	1618
252	547	1615
253	548	1611
254	550	1609
255	552	1605
256	554	1602
257	555	1598
258	557	1594
259	558	1590
260	560	1586
261	561	1581
262	564	1581
263	565	1576
264	566	1572
265	568	1568
266	569	1563
267	570	1559
268	572	1555
269	573	1551
270	575	1548
271	577	1544
272	580	1545
273	581	1541
274	583	1537
275	584	1533
276	585	1529
277	587	1525
278	588	1521
279	590	1518
280	591	1514
281	593	1509
282	594	1506
283	596	1502
284	597	1498
285	599	1495
286	600	1492
287	602	1488
288	603	1485
289	604	1481
290	606	1478
291	607	1474
292	609	1470
293	610	1466
294	612	1463
295	613	1459
296	614	1455
297	616	1451
298	617	1447
299	618	1443
300	619	1439
301	620	1434
302	624	1436
303	625	1433
304	627	1428
305	628	1426
306	630	1422
307	631	1419
308	633	1416
309	635	1413
310	636	1410
311	638	1407
312	639	1404
313	641	1401
314	643	1399
315	644	1395
316	645	1391
317	647	1388
318	648	1385
319	650	1381
320	651	1378
321	652	1374
322	654	1371
323	655	1368
324	657	1365
325	658	1361
326	660	1358
327	661	1355
328	662	1351
329	664	1348
330	665	1345
331	667	1343
332	668	1339
333	669	1335
334	671	1332
335	672	1329
336	674	1326
337	675	1323
338	676	1319
339	678	1316
340	679	1313
341	681	1311
342	682	1308
343	684	1304
344	685	1301
345	687	1299
346	689	1296
347	691	1294
348	693	1292
349	694	1289
350	698	1292
351	700	1289
352	702	1287
353	703	1284
354	705	1282
355	707	1279
356	708	1276
357	710	1273
358	711	1270
359	713	1267
360	714	1264
361	715	1261
362	717	1259
363	718	1256
364	720	1253
365	721	1250
366	723	1248
367	725	1245
368	726	1243
369	728	1240
370	730	1237
371	731	1234
372	732	1231
373	734	1229
374	736	1226
375	737	1224
376	739	1221
377	740	1218
378	742	1216
379	746	1217
380	747	1214
381	749	1212
382	751	1209
383	752	1207
384	754	1204
385	755	1202
386	757	1200
387	759	1197
388	760	1194
389	761	1191
390	763	1188
391	764	1186
392	766	1183
393	767	1181
394	769	1178
395	770	1175
396	772	1173
397	774	1171
398	775	1168
399	777	1165
400	778	1163
401	780	1160
402	781	1158
403	783	1155
404	784	1153
405	786	1150
406	787	1148
407	789	1145
408	790	1142
409	791	1139
410	793	1136
411	794	1134
412	796	1132
413	798	1129
414	799	1127
415	801	1124
416	805	1125
417	806	1122
418	807	1120
419	809	1117
420	811	1115
421	812	1112
422	813	1110
423	815	1107
424	817	1105
425	822	1107
426	823	1105
427	825	1103
428	827	1101
429	829	1099
430	831	1097
431	833	1095
432	834	1093
433	836	1090
434	838	1089
435	840	1087
436	842	1085
437	843	1082
438	846	1081
439	847	1079
440	849	1076
441	851	1074
442	853	1072
443	854	1070
444	856	1068
445	858	1066
446	861	1065
447	862	1063
448	864	1060
449	866	1058
450	868	1056
451	870	1055
452	871	1052
453	873	1050
454	874	1047
455	876	1045
456	878	1043
457	879	1041
458	881	1039
459	883	1037
460	885	1035
461	887	1033
462	888	1031
463	890	1028
464	891	1026
465	893	1023
466	895	1021
467	896	1019
468	898	1017
469	899	1014
470	901	1012
471	903	1010
472	905	1008
473	906	1006
474	908	1003
475	909	1001
476	911	999
477	913	997
478	914	995
479	917	993
480	919	991
481	920	989
482	922	987
483	924	985
484	926	983
485	927	981
486	930	980
487	933	979
488	934	976
489	936	974
490	938	972
491	940	970
492	941	968
493	944	967
494	946	965
495	948	963
496	949	961
497	950	958
498	952	956
499	953	953
500	955	951
501	957	949
502	959	947
503	961	945
504	963	943
505	964	941
506	965	939
507	967	937
508	969	935
509	971	933
510	973	931
511	974	929
512	976	927
513	978	925
514	980	923
515	982	921
516	984	919
517	986	918
518	988	916
519	990	914
520	993	913
521	994	910
522	996	908
523	997	906
524	999	904
525	1001	902
526	1003	900
527	1005	898
528	1007	896
529	1008	894
530	1009	891
531	1011	889
532	1012	887
533	1014	885
534	1016	883
535	1018	881
536	1019	879
537	1021	877
538	1023	875
539	1024	872
540	1025	870
541	1027	868
542	1028	865
543	1030	863
544	1032	862
545	1034	860
546	1036	858
547	1037	856
548	1039	854
549	1041	852
550	1043	850
551	1044	847
552	1046	845
553	1048	844
554	1050	842
555	1051	840
556	1053	837
557	1054	835
558	1056	833
559	1057	831
560	1059	829
561	1061	827
562	1063	825
563	1065	823
564	1067	821
565	1069	819
566	1070	817
567	1072	815
568	1074	813
569	1075	811
570	1077	809
571	1079	807
572	1081	805
573	1083	803
574	1084	801
575	1086	799
576	1088	797
577	1089	795
578	1091	793
579	1092	791
580	1094	789
581	1096	787
582	1097	785
583	1099	783
584	1101	781
585	1102	779
586	1104	777
587	1106	775
588	1108	773
589	1110	771
590	1112	769
591	1114	767
592	1116	766
593	1118	764
594	1119	762
595	1121	760
596	1123	758
597	1125	756
598	1127	754
599	1128	752
600	1130	750
601	1132	748
602	1133	746
603	1134	744
604	1136	741
605	1138	739
606	1139	737
607	1141	735
608	1142	733
609	1144	731
610	1146	729
611	1147	727
612	1148	725
613	1150	723
614	1152	721
615	1153	719
616	1155	717
617	1156	715
618	1159	713
619	1160	711
620	1162	709
621	1163	707
622	1165	705
623	1166	703
624	1169	701
625	1170	699
626	1171	697
627	1173	695
628	1174	692
629	1176	690
630	1178	688
631	1179	686
632	1181	684
633	1182	682
634	1185	681
635	1187	679
636	1189	677
637	1191	676
638	1193	674
639	1194	672
640	1196	669
641	1197	667
642	1198	665
643	1200	663
644	1201	661
645	1203	659
646	1205	657
647	1206	655
648	1208	653
649	1209	651
650	1211	649
651	1212	647
652	1214	645
653	1216	643
654	1217	641
655	1219	639
656	1220	637
657	1221	635
658	1223	633
659	1224	630
660	1226	628
661	1227	626
662	1229	624
663	1230	622
664	1232	621
665	1234	618
666	1235	616
667	1237	614
668	1238	612
669	1240	610
670	1241	608
671	1243	606
672	1244	604
673	1246	602
674	1248	600
675	1249	598
676	1251	596
677	1252	594
678	1254	592
679	1255	590
680	1257	588
681	1258	586
682	1260	584
683	1261	582
684	1263	580
685	1264	578
686	1266	576
687	1267	574
688	1269	572
689	1270	570
690	1272	569
691	1275	567
692	1277	565
693	1278	563
694	1280	561
695	1281	559
696	1282	557
697	1284	555
698	1285	553
699	1287	551
700	1288	549
701	1290	547
702	1292	545
703	1293	544
704	1295	542
705	1296	539
706	1297	537
707	1299	535
708	1300	533
709	1302	532
710	1304	530
711	1306	528
712	1308	526
713	1309	524
714	1311	522
715	1315	521
716	1316	519
717	1318	517
718	1319	515
719	1322	514
720	1323	512
721	1325	510
722	1326	508
723	1328	506
724	1330	504
725	1331	502
726	1334	500
727	1335	499
728	1337	497
729	1339	495
730	1340	493
731	1342	491
732	1344	489
733	1345	487
734	1347	485
735	1349	484
736	1351	482
737	1354	480
738	1356	479
739	1358	477
740	1359	475
741	1361	473
742	1363	471
743	1365	469
744	1366	467
745	1368	466
746	1370	464
747	1372	462
748	1373	460
749	1375	458
750	1376	456
751	1378	454
752	1379	452
753	1381	450
754	1382	448
755	1384	446
756	1385	444
757	1387	442
758	1388	440
759	1390	439
760	1392	437
761	1393	435
762	1395	433
763	1397	431
764	1398	429
765	1400	427
766	1401	425
767	1403	423
768	1404	422
769	1406	420
770	1408	418
771	1409	416
772	1411	414
773	1413	412
774	1414	410
775	1416	408
776	1418	406
777	1419	405
778	1421	403
779	1423	401
780	1425	399
781	1427	397
782	1429	396
783	1431	394
784	1432	392
785	1434	390
786	1435	388
787	1437	386
788	1439	384
789	1441	383
790	1443	381
791	1444	379
792	1446	377
793	1447	375
794	1449	373
795	1450	371
796	1452	369
797	1453	368
798	1455	366
799	1457	364
800	1458	362
801	1460	360
802	1461	358
803	1462	356
804	1464	354
805	1465	352
806	1467	350
807	1469	349
808	1471	347
809	1473	345
810	1474	343
811	1476	341
812	1477	339
813	1478	337
814	1480	335
815	1482	334
816	1483	332
817	1485	330
818	1486	328
819	1488	326
820	1489	324
821	1490	322
822	1492	320
823	1493	319
824	1495	317
825	1496	315
826	1498	313
827	1500	311
828	1502	309
829	1503	307
830	1505	306
831	1506	304
832	1508	302
833	1509	300
834	1510	298
835	1512	296
836	1514	294
837	1515	293
838	1517	291
839	1518	289
840	1520	287
841	1521	285
842	1522	283
843	1524	281
844	1525	279
845	1527	278
846	1529	276
847	1530	274
848	1532	272
849	1534	270
850	1535	268
851	1537	267
852	1538	265
853	1540	263
854	1541	261
855	1543	259
856	1545	257
857	1546	256
858	1548	254
859	1550	252
860	1552	250
861	1553	248
862	1555	246
863	1557	245
864	1558	243
865	1560	241
866	1562	239
867	1563	237
868	1565	235
869	1566	234
870	1568	232
871	1569	230
872	1571	228
873	1572	226
874	1574	224
875	1576	223
876	1577	221
877	1579	219
878	1580	217
879	1582	215
880	1583	213
881	1585	212
882	1586	210
883	1588	208
884	1590	206
885	1592	204
886	1593	203
887	1595	201
888	1597	199
889	1598	197
890	1600	195
891	1601	193
892	1603	192
893	1605	190
894	1607	188
895	1609	186
896	1610	184
897	1612	183
898	1613	181
899	1614	179
900	1616	177
901	1617	175
902	1619	173
903	1621	172
904	1623	170
905	1624	168
906	1625	166
907	1627	164
908	1628	163
909	1630	161
910	1632	159
911	1634	157
912	1635	155
913	1637	154
914	1639	152
915	1641	150
916	1642	148
917	1644	146
918	1646	145
919	1648	143
920	1650	141
921	1651	139
922	1653	137
923	1655	136
924	1656	134
925	1658	132
926	1659	130
927	1661	128
928	1663	127
929	1666	125
930	1667	123
931	1669	121
932	1671	120
933	1673	118
934	1674	116
935	1675	114
936	1677	112
937	1679	111
938	1681	109
939	1683	107
940	1685	105
941	1686	103
942	1688	102
943	1690	100
944	1691	98
945	1693	96
946	1695	94
947	1697	93
948	1698	91
949	1700	89
950	1701	87
951	1703	85
952	1704	84
953	1706	82
954	1707	80
955	1709	78
956	1711	76
957	1713	75
958	1715	73
959	1716	71
960	1718	69
961	1720	67
962	1721	66
963	1723	64
964	1725	62
965	1727	60
966	1729	59
967	1730	57
968	1732	55
969	1733	53
970	1735	51
971	1737	50
972	1739	48
973	1741	46
974	1742	44
975	1744	42
976	1745	41
977	1747	39
978	1749	37
979	1751	35
980	1753	33
981	1755	32
982	1757	30
983	1759	28
984	1760	26
985	1762	25
986	1764	23
987	1765	21
988	1767	19
989	1769	17
990	1770	16
991	1772	14
992	1774	12
993	1775	10
994	1777	8
995	1778	7
996	1780	5
997	1782	3
998	1784	1
999	1786	0
